item_id,min_price,median,quantity
2862,1,1,584
6662,2600,4900,16169
74848,198,440,3803
193213,51,150,32675
160400,80,88,9964
34722,25,135,838
191493,9450,11484,749
192880,34,38,86567
168487,800,800,22609
9313,8,95,139
192669,162,162,30
115352,25,25,27
38561,1800,2383,2017
4306,4,10,136664
204460,658,660,1543875
190534,12231,12235,5772
7067,256,269,847
193370,210,300,117061
109141,15,87,5760
197761,32,33,577
172056,19,20,4192
192972,90,100,180
182653,15,17,261
24246,193,195,520
192974,45,55,811
197758,20,20,515
192977,35,57,795
192968,38,40,2125
152496,25,25,214
172044,20,32,337
207022,760,800,12216
191359,17000,17332,2439
191323,2000,12098,1364
191322,200,698,1325
163224,75,968,514
43011,57,65,920
3857,2,1002,19510
154899,7,7,19470
7912,4,9,13580
172048,44,44,742
201406,12199,13365,14616
193224,10450,13019,53750
111671,299,380,3334
190450,26099,51660,8142
172230,33,35,136526
22644,65,17200,1086
192901,390,500,33
171264,28,4690,356
2836,8,12,7827
190322,949,1049,155173
191336,270,700,886
194968,15,19,162664
197748,6,33,99501
192717,2024,2024,159
200773,4299,4299,10
153705,258,270,606
21752,792,877,1379
124661,4049,4950,124
14256,5000,9900,2736
13456,162,177,11
198550,848,850,3084
20816,2970,3000,1461
18287,10000,10000,26
3821,2256,7525,25140
186017,3164,3455,2590
152875,121,985,68514
198280,1400,1600,221
52213,33518,33518,67
199219,1968,15005,2269
52109,3679,3679,22
41434,386,386,14
193215,74,115,983161
198240,688,700,231
191872,24500,25000,432
43102,3800,3800,1572
115808,207,207,54
193223,3250,3250,43283
201399,220,5827,12586
173042,13,445200,154
198229,4998,5000,2368
192662,175,176,265
198208,388,400,419
191358,700,800,2398
151393,308102,308102,1
109184,98,99,256
188761,3944,19999,1058
151389,4499,4499,5
31894,1198,1800,24
34599,99,9999,141
142335,1,2,6269
44599,8,8,243
6532,1,500,592
29451,6,6,132
3818,700,999,3441
16023,9894,9898,40
3358,974,1466,5948
142336,9,28,4403
191365,1800,1800,12095
27439,47,1950,6425
190328,390,540,51278
6289,3,250,5671
200509,1,2,9138
173202,4,100,3935828
2681,5,5,92
138486,707,825,5173
111245,377,1405,3091
87806,499,500,12
124105,750,1266,3446
1251,1,78,1047
2680,1,1,161
200507,56,3500,40516
208212,700,6136,7278
59477,99899,99899,3
67404,150,175,22
43108,175,217,1427
63246,5,5,492
210248,101,1000,2710
199960,500,555,180
72234,50,70,14140
188670,195,480095,1222
79010,37,77,9024
187707,5100,5200,229
194969,10,74,213913
79011,69,114,8146
72235,48,53,8296
52116,5988,5988,20
110632,1269,1273,39
52148,10500,10500,8
35948,8,150008,1024
76508,285,300,93
52141,10000,10000,85
35947,8,8,211
52130,3000,3000,7
35562,340,7590,60521
76529,499,499,20
52138,21000,21000,1
192651,199,199,34
89679,2500,2500,1
52174,42498,42498,4
193389,255,255,10
167738,22,103,36625
192625,70,70,608
39905,200,200,14
76511,206,206,11
192746,1400,2790,59
197791,28,109,4642
38896,19416,19421,57
192621,66,66,223
76513,192,193,13
192614,63,63,592
193384,189,189,43
33452,5,150005,1523
52133,1648,1648,74
76698,300,502,19
52084,1777,1777,250
22787,227,17200,1072
24508,30,61,256
76507,199,199,22
22794,901,1100,1879
24511,49,51,52
207023,1412,1412,72790
93706,233,233,20
192627,64,64,98
76533,120,163,28
205868,194,4800094,119
191379,294,300,2764
76569,943,952,19
191361,89,145,963
52144,2000,2000,6
108325,77,350,1667
52154,279036,279037,8
36918,341,344,111
76522,202,202,6
192635,62,62,527
73260,9,10,72
76520,148,149,12
192695,1985,1985,54
193214,45,54,595655
193216,315,5560,4143
52100,14831,14831,9
190395,51,65,61602
79869,45724,79900,995
175056,8910,8910,16
199956,500,500,390
36910,12200,12795,5737
191516,4176,4499,2458
173076,13500,13500,12
191513,8988,8999,1180
173077,5199,5699,16
191512,3064,4500,264
116149,955,1955,481
173073,4500,4500,13
200576,1800,2160,138
180476,92565,93500,18
180475,192,192,2
176087,500,515,58
176089,195,195,8
176872,200,480000,141
176865,41,41,221
201401,1449,6099,979
2798,114,114,40
175957,1199,1199,9
193259,30,136,273436
52101,2000,2499,218
173361,699,699,15
52113,95,95,6
178178,40,4999999,880
173871,97,100,60
76538,184,185,33
76509,167,167,40
178175,229,229,3
179315,7,7,27174
176881,4000,5300,7
28058,25,25,13
132183,287,287,59
193255,440,450,250854
176392,536,536,11
132217,407,240203,6
112177,2511,17200,134
173874,130,480030,139
36930,900,1840,266
83097,14,480014,18
152576,13,15,3498188
197745,200,487,270850
168583,841,2842,29863
25429,200,200,3
172052,7,7,32940
199964,595,997,22
20520,13800,15097,608
52132,400,400,8
37701,18,32,13752
52232,25020,25020,12
194123,226,228,78918
76555,234,234,30
3685,9,17,8223
200003,528,530,50
204994,224575,224575,861
189543,23000,29999,7062
35285,200,17200,141
108330,50,179,962
43007,74,98,4790
33444,5,5,306
198281,1147,1147,38
33445,6,6,143
23119,70,70,36
198298,390,396,100
24066,649,650,20
199188,1160,1260,393
17404,17,20,30
42253,99,100,20085
33454,5,7,620
191525,10082,12592,679
201422,4800,6099,4694
44482,8,8,225
44601,8,8,233
9312,15,50,127
21071,91,149,884
192978,479,664,1083
173126,2500,2858,262
191374,799,1600,926
52124,2555,2555,23
191368,400,500,3397
197752,120,120,30374
173124,1988,2000,107
23110,727,727,14
1468,1,2,5973
39912,327,329,45
41444,938,938,23
128793,3,5,91
52120,324,870,13
41397,955,955,66
723,15,17200,879
36934,198,795,492
40022,537,537,11
41470,113,113,6
204370,9388,15088,7298
76536,150,150,33
186982,3200,3200,23
27429,24,17200,1188
76089,97,9900,106
13755,16000,25000,607
133607,22,26,7408
192712,1932,1932,8
1708,5,9,59
200652,1060000,1449950,440
200801,2088,2088,28
190314,9300,9365,24939
153512,800,890,56
152497,37,57,250
193893,80,80,1650
192611,475,2000,848
191319,425,2500,20603
13757,200,17097,496
192646,159,159,335
172054,7,807,24020
43572,22,17200,203
53069,44,17200,825
192634,69,480069,257
34664,225,226,1659
19441,14,23,4363
43694,200000,225000,4
194792,900,900,200
3712,300,534,4495
197747,8,67,46124
22832,50,480015,956
163082,50,134,410
23756,3,5,47
109223,100,167,1338
6530,1,1,440
200508,9891,9891,4636
195463,175,175,590
193258,40,275,55695
172053,7,1005,18434
187704,7,17000,40629
52119,3333,3333,12
76647,2182,2182,219
77545,2596,2598,84
77541,2397,2397,60
197741,5,7,1608283
173032,7,7,42703
76674,1295,22295,41
52225,10099,10099,77
187702,25,17000,25942
31867,1500,1500,15
76645,1000,1285,15
32836,38181,38182,7
52248,7499,7500,15
201402,226,228,1982
40037,2994,2994,40
31866,5901,5901,28
