date,item_id,min_price,median_price,quantity
22120411,22451,43865,48080,1500
22120412,22451,40000,48080,1410
22120413,22451,43865,48080,1303
22120414,22451,40065,48080,1379
22120415,22451,40065,48080,1342
22120416,22451,40065,48080,1355
22120417,22451,40065,48080,1423
22120418,22451,39900,43979,1635
22120419,22451,39900,43979,1634
22120420,22451,39898,43979,1646
22120421,22451,39850,43979,1703
22120422,22451,39800,43979,1714
22120423,22451,39800,43979,1741
22120500,22451,39800,43979,1752
22120501,22451,35000,43979,1733
22120502,22451,31000,43979,1736
22120503,22451,31000,43979,1735
22120504,22451,31000,43979,1728
22120505,22451,31000,43979,1693
22120506,22451,31000,43979,1689
22120507,22451,31000,43979,1657
22120508,22451,31000,43979,1644
22120509,22451,31000,43979,1653
22120510,22451,30000,43979,1633
22120511,22451,31000,43979,1611
22120512,22451,35800,43979,1680
22120513,22451,35800,43979,1656
22120514,22451,35500,43980,1474
22120515,22451,35900,43979,1513
22120516,22451,35600,43979,1564
22120517,22451,35550,40065,1069
22120518,22451,35549,40065,968
22120519,22451,35549,40065,916
22120520,22451,35549,39800,858
22120522,22451,34999,39800,883
22120523,22451,34899,39800,890
22120600,22451,34599,35900,985
22120601,22451,34599,35900,1021
22120602,22451,34599,35700,1037
22120603,22451,34599,35700,1036
22120604,22451,32870,35900,988
22120605,22451,32870,35900,966
22120606,22451,34599,35900,975
22120607,22451,34599,35900,967
22120608,22451,32599,35900,971
22120609,22451,32599,35900,971
22120610,22451,32599,35900,971
22120611,22451,34550,35900,970
22120612,22451,34550,35900,1011
22120613,22451,34500,36486,853
22120614,22451,34490,35900,929
22120615,22451,34000,35900,860
22120616,22451,33500,35600,847
22120617,22451,34000,35549,838
22120618,22451,33900,34599,631
22120619,22451,35000,39999,745
22120620,22451,35000,39999,856
22120621,22451,35000,39800,918
22120622,22451,34997,39800,961
22120623,22451,34997,39800,953
22120700,22451,34997,39800,950
22120701,22451,34999,39800,912
22120702,22451,34999,39800,917
22120703,22451,34999,39800,943
22120704,22451,34996,35550,958
22120705,22451,34996,35550,958
22120706,22451,34996,35549,973
22120707,22451,34995,35495,988
22120708,22451,34590,35495,997
22120709,22451,34590,35000,965
22120710,22451,34590,35000,932
22120711,22451,34590,35000,916
22120712,22451,34590,35000,892
22120713,22451,44900,62559,606
22120714,22451,44900,62559,616
22120715,22451,44900,62559,627
22120716,22451,54999,62559,677
22120717,22451,54898,62559,1209
22120718,22451,54896,62559,1231
22120719,22451,54096,54999,1298
22120720,22451,54000,54899,1430
22120721,22451,53999,54899,1519
22120722,22451,50000,54899,1850
22120723,22451,49998,54899,1851
22120800,22451,49998,54899,1857
22120801,22451,49995,54899,1547
22120802,22451,49595,54096,1970
22120803,22451,49595,54096,1991
22120804,22451,49595,54000,1958
22120805,22451,49595,54000,1947
22120806,22451,49593,54000,1957
22120807,22451,49593,54000,1983
22120808,22451,49593,54096,1881
22120809,22451,49592,54000,1917
22120810,22451,49592,54899,1629
22120811,22451,49012,54899,1701
22120812,22451,49012,54899,1681
22120813,22451,49011,54096,1728
22120814,22451,49011,54899,1653
22120815,22451,44410,54899,1621
22120816,22451,48500,54096,1689
22120817,22451,48500,54000,1893
22120818,22451,48499,53999,1976
22120819,22451,39200,49012,1605
22120820,22451,38808,49011,2227
22120821,22451,39200,49011,2199
22120822,22451,37500,49011,2184
22120823,22451,39200,48500,2350
22120900,22451,39200,48500,2352
22120901,22451,39000,48500,2353
22120902,22451,39000,48500,2051
22120903,22451,39000,48500,2037
22120904,22451,39198,48499,2123
22120905,22451,39198,40000,1995
22120906,22451,39198,40000,1984
22120907,22451,39198,39200,2044
22120908,22451,39198,39200,2106
22120909,22451,39198,39200,2113
22120910,22451,39197,39200,2123
22120911,22451,34320,39200,1892
