date,item_id,min_price,median_price,quantity
22120411,21884,26300,29972,7016
22120412,21884,25000,29972,6865
22120413,21884,24049,26295,13195
22120414,21884,24049,24999,13969
22120415,21884,24000,24999,13656
22120416,21884,23999,24999,13977
22120417,21884,23580,24049,13885
22120418,21884,23550,24049,14017
22120419,21884,23575,24049,13937
22120420,21884,21500,24049,16948
22120421,21884,21500,24049,16993
22120422,21884,21500,24049,19871
22120423,21884,21500,24049,19783
22120500,21884,21500,24049,19705
22120501,21884,21500,23575,14186
22120502,21884,21400,21689,13327
22120503,21884,21399,21689,16195
22120504,21884,20498,21500,19875
22120505,21884,19999,21500,19869
22120506,21884,20498,21500,20021
22120507,21884,20498,21500,20060
22120508,21884,20000,21500,18317
22120509,21884,19000,21500,18328
22120510,21884,19000,21500,18346
22120511,21884,19900,21500,18319
22120512,21884,19900,21500,18370
22120513,21884,19800,21400,18575
22120514,21884,19800,21400,18653
22120515,21884,19800,21500,15360
22120516,21884,19600,21689,11665
22120517,21884,19600,21500,12221
22120518,21884,19500,21500,11339
22120519,21884,19599,21500,12980
22120520,21884,19500,21500,12566
22120522,21884,19500,21689,9796
22120523,21884,19500,21500,10141
22120600,21884,19500,21689,9066
22120601,21884,19400,21689,9808
22120602,21884,19400,21689,9007
22120603,21884,19200,21500,9935
22120604,21884,19200,19500,17297
22120605,21884,19200,19500,17332
22120606,21884,17599,19500,17418
22120607,21884,19190,19500,17065
22120608,21884,19190,19500,19821
22120609,21884,19190,19500,19821
22120610,21884,19190,19500,19821
22120611,21884,19100,19500,18293
22120612,21884,18400,19500,20071
22120613,21884,19100,19500,20426
22120614,21884,19000,19500,20369
22120615,21884,19100,19500,20444
22120616,21884,18236,19500,18824
22120617,21884,18800,19500,20029
22120618,21884,18500,19500,19003
22120619,21884,18499,19500,18754
22120620,21884,18499,19500,17549
22120621,21884,18500,19500,18529
22120622,21884,18500,19500,18704
22120623,21884,18499,19500,18651
22120700,21884,18500,19500,18439
22120701,21884,18500,19500,16992
22120702,21884,18500,19500,17045
22120703,21884,18500,19500,17113
22120704,21884,18500,19500,16731
22120705,21884,18500,19500,16732
22120706,21884,12599,19500,16958
22120707,21884,18500,19500,16942
22120708,21884,18500,19500,14100
22120709,21884,18497,18499,17194
22120710,21884,13000,18499,17112
22120711,21884,18497,18499,17056
22120712,21884,17700,18499,17054
22120713,21884,17700,18499,17217
22120714,21884,17700,18499,17376
22120715,21884,16500,18497,17595
22120716,21884,16500,17700,14843
22120717,21884,16500,18497,19469
22120718,21884,16499,18497,19549
22120719,21884,16499,18497,18518
22120720,21884,16499,18497,18362
22120721,21884,15000,18497,18443
22120722,21884,16498,18497,18476
22120723,21884,16400,17700,18507
22120800,21884,15098,18497,18283
22120801,21884,16000,17500,17874
22120802,21884,16000,18497,16814
22120803,21884,16000,17500,17559
22120804,21884,16000,17500,17721
22120805,21884,16000,17500,14890
22120806,21884,16000,17500,14821
22120807,21884,14000,17500,14703
22120808,21884,16000,17500,14695
22120809,21884,16000,17500,14387
22120810,21884,16000,17500,14347
22120811,21884,15000,16000,14342
22120812,21884,14500,16000,14264
22120813,21884,14999,16000,14274
